t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
107.0,-19.935,0.804,-4.946,0.054,1.665,2,14,0,0.143,0,0,0.371,nan,0.363,0,0,0.143,-19.932,1.167,-0.175,-1.490
108.0,-20.097,-0.787,-4.984,0.016,1.537,2,14,0,0.154,0,0,0.520,nan,0.468,0,0,0.154,-19.995,-0.330,0.050,-1.499
109.0,-19.975,-2.202,-5.056,-0.056,1.420,2,14,0,0.149,0,0,0.502,nan,0.408,0,0,0.149,-19.833,-1.820,0.273,-1.475
110.0,-19.607,-3.526,-5.069,-0.069,1.423,2,14,0,0.149,0,0,0.451,nan,0.301,0,0,0.149,-19.451,-3.269,0.490,-1.418
111.0,-18.996,-4.843,-5.015,-0.015,1.508,2,14,0,0.142,0,0,0.417,nan,0.242,0,0,0.142,-18.856,-4.645,0.697,-1.328
112.0,-18.161,-6.049,-4.971,0.029,1.593,2,14,0,0.141,0,0,0.370,nan,0.166,0,0,0.141,-18.062,-5.916,0.887,-1.209
113.0,-17.089,-7.170,-5.029,-0.029,1.678,2,14,0,0.145,0,0,0.266,nan,0.116,0,0,0.145,-17.088,-7.054,1.058,-1.063
114.0,-15.817,-8.278,-5.041,-0.041,1.723,2,14,0,0.146,0,0,0.213,nan,0.279,0,0,0.146,-15.954,-8.034,1.205,-0.893
115.0,-14.442,-9.231,-5.027,-0.027,1.686,2,14,0,0.150,0,0,0.322,nan,0.466,0,0,0.150,-14.686,-8.834,1.325,-0.703
116.0,-12.917,-9.960,-5.030,-0.030,1.617,2,14,0,0.145,0,0,0.466,nan,0.658,0,0,0.145,-13.314,-9.435,1.415,-0.497
117.0,-11.416,-10.415,-5.023,-0.023,1.514,2,14,0,0.148,0,0,0.552,nan,0.742,0,0,0.148,-11.867,-9.824,1.474,-0.280
118.0,-9.941,-10.578,-5.045,-0.045,1.462,2,14,0,0.151,0,0,0.547,nan,0.730,0,0,0.151,-10.378,-9.993,1.499,-0.057
119.0,-8.562,-10.452,-5.032,-0.032,1.474,2,14,0,0.149,0,0,0.456,nan,0.605,0,0,0.149,-8.880,-9.937,1.491,0.168
120.0,-7.128,-10.093,-5.064,-0.064,1.540,2,14,0,0.171,0,0,0.377,nan,0.517,0,0,0.171,-7.408,-9.658,1.449,0.389
121.0,-5.728,-9.472,-4.931,0.069,1.623,2,14,0,0.156,0,0,0.253,nan,0.408,0,0,0.156,-5.993,-9.162,1.374,0.601
122.0,-4.250,-8.672,-4.965,0.035,1.659,2,14,0,0.147,0,0,0.220,nan,0.469,0,0,0.147,-4.669,-8.461,1.269,0.800
123.0,-2.954,-7.728,-4.939,0.061,1.621,2,14,0,0.143,0,0,0.265,nan,0.535,0,0,0.143,-3.465,-7.569,1.135,0.980
124.0,-1.758,-6.594,-4.982,0.018,1.590,2,14,0,0.143,0,0,0.382,nan,0.654,0,0,0.143,-2.407,-6.507,0.976,1.139
125.0,-0.800,-5.382,-5.018,-0.018,1.506,2,14,0,0.154,0,0,0.458,nan,0.725,0,0,0.154,-1.520,-5.300,0.795,1.272
126.0,-0.085,-4.095,-5.028,-0.028,1.483,2,14,0,0.149,0,0,0.486,nan,0.748,0,0,0.149,-0.823,-3.973,0.596,1.377
127.0,0.489,-2.662,-4.998,0.002,1.510,2,14,0,0.147,0,0,0.567,nan,0.828,0,0,0.147,-0.332,-2.557,0.384,1.450
128.0,0.630,-1.186,-5.029,-0.029,1.544,2,14,0,0.155,0,0,0.441,nan,0.696,0,0,0.155,-0.059,-1.083,0.163,1.491
129.0,0.519,0.346,-4.998,0.002,1.607,2,14,0,0.147,0,0,0.278,nan,0.532,0,0,0.147,-0.009,0.414,-0.062,1.499
130.0,0.228,1.945,-4.947,0.053,1.627,2,14,0,0.151,0,0,0.180,nan,0.413,0,0,0.151,-0.183,1.903,-0.285,1.473
131.0,-0.086,3.487,-5.007,-0.007,1.615,2,14,0,0.158,0,0,0.303,nan,0.511,0,0,0.158,-0.577,3.348,-0.502,1.413
132.0,-0.692,4.960,-5.003,-0.003,1.595,2,14,0,0.130,0,0,0.377,nan,0.547,0,0,0.130,-1.183,4.719,-0.708,1.322
133.0,-1.494,6.352,-4.963,0.037,1.543,2,14,0,0.149,0,0,0.489,nan,0.616,0,0,0.149,-1.988,5.984,-0.898,1.202
134.0,-2.461,7.500,-4.941,0.059,1.500,2,14,0,0.154,0,0,0.516,nan,0.641,0,0,0.154,-2.972,7.114,-1.067,1.054
135.0,-3.706,8.427,-5.005,-0.005,1.535,2,14,0,0.151,0,0,0.431,nan,0.533,0,0,0.151,-4.114,8.084,-1.213,0.883
136.0,-5.057,9.126,-4.983,0.017,1.562,2,14,0,0.142,0,0,0.322,nan,0.416,0,0,0.142,-5.388,8.873,-1.331,0.692
